"ident","name","orcid"
"https://purl.humanatlas.io/graph/hra-lit/v0.6#person_11378610","Weijie Du",NULL
"https://purl.humanatlas.io/graph/hra-lit/v0.6#person_5505730","Konrad P Weber","https://orcid.org/0000-0003-2526-4582"
"https://purl.humanatlas.io/graph/hra-lit/v0.6#person_10348626","Aashay Kekatpure",NULL
"https://purl.humanatlas.io/graph/hra-lit/v0.6#person_2892441","V Rigau",NULL
"https://purl.humanatlas.io/graph/hra-lit/v0.6#person_9509975","Wen-Shi Wei",NULL
"https://purl.humanatlas.io/graph/hra-lit/v0.6#person_10068965","Theodore H Schwartz",NULL
"https://purl.humanatlas.io/graph/hra-lit/v0.6#person_688754","Sylvain Mouraret",NULL
"https://purl.humanatlas.io/graph/hra-lit/v0.6#person_2698108","Xiao-Jie Lu",NULL
"https://purl.humanatlas.io/graph/hra-lit/v0.6#person_2982592","H-Yl Park",NULL
"https://purl.humanatlas.io/graph/hra-lit/v0.6#person_628602","P Tebas",NULL
"https://purl.humanatlas.io/graph/hra-lit/v0.6#person_9876952","Erdal Uysal",NULL
"https://purl.humanatlas.io/graph/hra-lit/v0.6#person_4898834","P C Grossi","https://orcid.org/0000-0001-6601-5967"
"https://purl.humanatlas.io/graph/hra-lit/v0.6#person_1339970","Daniel C Jones",NULL
"https://purl.humanatlas.io/graph/hra-lit/v0.6#person_10839938","Felice Cicciarelli",NULL
"https://purl.humanatlas.io/graph/hra-lit/v0.6#person_4716692","Tanja Lotz",NULL
"https://purl.humanatlas.io/graph/hra-lit/v0.6#person_9762088","Patrik Lundquist","https://orcid.org/0000-0002-7458-7882"
"https://purl.humanatlas.io/graph/hra-lit/v0.6#person_10096707","Ana Sofia Ore",NULL
"https://purl.humanatlas.io/graph/hra-lit/v0.6#person_8537060","Maya M Coumbe Gitter",NULL
"https://purl.humanatlas.io/graph/hra-lit/v0.6#person_5114938","Anwen M Krause-Heuer",NULL
"https://purl.humanatlas.io/graph/hra-lit/v0.6#person_6925102","Upa Kukongviriyapan",NULL
"https://purl.humanatlas.io/graph/hra-lit/v0.6#person_8190505","Joshua Wisell",NULL
"https://purl.humanatlas.io/graph/hra-lit/v0.6#person_6781035","Paul-Emile Colin",NULL
"https://purl.humanatlas.io/graph/hra-lit/v0.6#person_3075217","Sandra Reeg",NULL
"https://purl.humanatlas.io/graph/hra-lit/v0.6#person_10795061","S Dedoni",NULL
"https://purl.humanatlas.io/graph/hra-lit/v0.6#person_1690471","Jieqing Jiang",NULL
"https://purl.humanatlas.io/graph/hra-lit/v0.6#person_9628463","Tao Li","https://orcid.org/0000-0002-5108-1774"
"https://purl.humanatlas.io/graph/hra-lit/v0.6#person_1831788","Silvia Sis&Atilde;&sup3;",NULL
"https://purl.humanatlas.io/graph/hra-lit/v0.6#person_2664800","Laura J Benjamins",NULL
"https://purl.humanatlas.io/graph/hra-lit/v0.6#person_3344907","V Camera","https://orcid.org/0000-0002-4925-9000"
"https://purl.humanatlas.io/graph/hra-lit/v0.6#person_11028614","John M Costello","https://orcid.org/0000-0001-7713-0258"
"https://purl.humanatlas.io/graph/hra-lit/v0.6#person_5302631","Hassan Sajjad",NULL
"https://purl.humanatlas.io/graph/hra-lit/v0.6#person_8052646","Daniele Cristine Krebs Ribeiro",NULL
"https://purl.humanatlas.io/graph/hra-lit/v0.6#person_4239974","Yiding Wang",NULL
"https://purl.humanatlas.io/graph/hra-lit/v0.6#person_9569425","Maximilian L Buja",NULL
"https://purl.humanatlas.io/graph/hra-lit/v0.6#person_8566888","Sergio E Pasteris",NULL
"https://purl.humanatlas.io/graph/hra-lit/v0.6#person_5224290","Simon Diestelmeier",NULL
"https://purl.humanatlas.io/graph/hra-lit/v0.6#person_9733171","Akira Hara","https://orcid.org/0000-0001-8992-8021"
"https://purl.humanatlas.io/graph/hra-lit/v0.6#person_1990947","M Zuber",NULL
