"pmid","auth_id","name","author_type","initials","fore_name","last_name","suffix","orcid"
"20199141","(20199141,1)","Masaki Kasai","Person","M","Masaki","Kasai",NULL,NULL
"20199141","(20199141,2)","Takahiro Jikoh","Person","T","Takahiro","Jikoh",NULL,NULL
"20199141","(20199141,3)","Hidefumi Fukumitsu","Person","H","Hidefumi","Fukumitsu",NULL,NULL
"20199141","(20199141,4)","Shoei Furukawa","Person","S","Shoei","Furukawa",NULL,NULL
"22734847","(22734847,1)","Matthew F Wszolek","Person","MF","Matthew F","Wszolek",NULL,NULL
"22734847","(22734847,2)","David Canes","Person","D","David","Canes",NULL,NULL
"22734847","(22734847,3)","Alireza Moinzadeh","Person","A","Alireza","Moinzadeh",NULL,NULL
"22734847","(22734847,4)","Andrea Sorcini","Person","A","Andrea","Sorcini",NULL,NULL
"22798243","(22798243,1)","Manuela Galli","Person","M","Manuela","Galli",NULL,NULL
"22798243","(22798243,2)","Veronica Cimolin","Person","V","Veronica","Cimolin",NULL,NULL
"22798243","(22798243,3)","Sara Vimercati","Person","S","Sara","Vimercati",NULL,NULL
"22798243","(22798243,4)","Giorgio Albertini","Person","G","Giorgio","Albertini",NULL,NULL
"22798243","(22798243,5)","Reinald Brunner","Person","R","Reinald","Brunner",NULL,NULL
"22865575","(22865575,1)","Leonardo Ruggiero","Person","L","Leonardo","Ruggiero",NULL,NULL
"22865575","(22865575,2)","Hugo Sol","Person","H","Hugo","Sol",NULL,NULL
"22865575","(22865575,3)","Hichem Sahli","Person","H","Hichem","Sahli",NULL,NULL
"22865575","(22865575,4)","Sigrid Adriaenssens","Person","S","Sigrid","Adriaenssens",NULL,NULL
"22865575","(22865575,5)","Nele Adriaenssens","Person","N","Nele","Adriaenssens",NULL,NULL
"23223012","(23223012,1)","Liang-Jen Wang","Person","LJ","Liang-Jen","Wang",NULL,NULL
"23223012","(23223012,2)","Yu-Shu Huang","Person","YS","Yu-Shu","Huang",NULL,NULL
"23223012","(23223012,3)","Cheng-Cheng Hsiao","Person","CC","Cheng-Cheng","Hsiao",NULL,NULL
"23223012","(23223012,4)","Chih-Ken Chen","Person","CK","Chih-Ken","Chen",NULL,NULL
